	Drug	Condition	CURIE_ID
972	PIRARUBICIN	Uterine Neoplasms	DOID:363
973	SPECTINOMYCIN	Uterine Cervicitis	DOID:2568
974	OXYTOCIN	Uterine Hemorrhage	DOID:345
975	CARBETOCIN	Uterine Inertia	HP:0002486
976	RIMEXOLONE	Uveitis, Anterior	DOID:1407
977	CANDICIDIN	Vaginitis	DOID:2170
978	NIFUROXIME	Trichomonas Vaginitis	DOID:2170
979	TERLIPRESSIN	Esophageal and Gastric Varices	DOID:112
980	METHYSERGIDE	Vascular Headaches	DOID:6713
981	DABIGATRAN	Venous Thrombosis	DOID:2364
982	ENCAINIDE	Tachycardia, Ventricular	DOID:0060674
983	LEVOSULPIRIDE	Vertigo	DOID:9847
984	RAMOSETRON	Vomiting	HP:0002013
985	GRANISETRON	Vomiting	HP:0002013
986	CLEBOPRIDE	Vomiting	HP:0002013
987	THIETHYLPERAZINE	Vomiting	HP:0002013
988	DIENESTROL	Vulvar Lichen Sclerosus	DOID:2059
989	SULFANILAMIDE	Candidiasis, Vulvovaginal	DOID:2272
990	TERCONAZOLE	Candidiasis, Vulvovaginal	DOID:2272
991	TIOCONAZOLE	Candidiasis, Vulvovaginal	DOID:2272
992	BUTOCONAZOLE	Candidiasis, Vulvovaginal	DOID:2272
993	FORMALDEHYDE	Warts	DOID:11168
994	TRENBOLONE	Weight Gain	HP:0004324
995	LAIDLOMYCIN	Weight Loss	HP:0001824
996	TOCAINIDE	Wolff-Parkinson-White Syndrome	DOID:384
997	LIDOCAINE	Wolff-Parkinson-White Syndrome	DOID:384
998	OXIBENDAZOLE	Helminths	DOID:883
999	SERTRALINE	Stress Disorders, Post-Traumatic	DOID:2055
