prefix	MIM_number	preferred_title	alternative_title	symbols	neo4j_id
Number Sign	602723	PSORIASIS 2; PSORS2			532075
Percent	602759	PROSTATE CANCER, HEREDITARY, 8	HPC8;; PREDISPOSING FOR PROSTATE CANCER; PCAP		827510
Number Sign	602771	RIGID SPINE MUSCULAR DYSTROPHY 1; RSMD1	RIGID SPINE SYNDROME; RSS;; MYOPATHY, SEPN1-RELATED;; MUSCULAR DYSTROPHY, CONGENITAL, MEROSIN-POSITIVE, WITH EARLY SPINE RIGIDITY; MDRS1;; MULTICORE MYOPATHY, SEVERE CLASSIC FORM;; MINICORE MYOPATHY, SEVERE CLASSIC FORM;; MULTIMINICORE DISEASE, SEVERE CLASSIC FORM;; DESMIN-RELATED MYOPATHY WITH MALLORY BODIES;; MUSCULAR DYSTROPHY, CONGENITAL, EICHSFELD TYPE		8122
Number Sign	602772	RETINITIS PIGMENTOSA 25; RP25			8119
Number Sign	602782	HISTIOCYTOSIS-LYMPHADENOPATHY PLUS SYNDROME	HISTIOCYTOSIS AND LYMPHADENOPATHY WITH OR WITHOUT CUTANEOUS, CARDIAC, AND/OR ENDOCRINE FEATURES, JOINT CONTRACTURES, AND/OR DEAFNESS;; HYPERPIGMENTATION, CUTANEOUS, WITH HYPERTRICHOSIS, HEPATOSPLENOMEGALY, HEART ANOMALIES, AND HYPOGONADISM WITH OR WITHOUT HEARING LOSS;; H SYNDROME;; PIGMENTED HYPERTRICHOSIS WITH INSULIN-DEPENDENT DIABETES MELLITUS; PHID;; HISTIOCYTOSIS WITH JOINT CONTRACTURES AND SENSORINEURAL DEAFNESS; HJCD;; FAISALABAD HISTIOCYTOSIS;; ROSAI-DORFMAN DISEASE, FAMILIAL;; SINUS HISTIOCYTOSIS AND MASSIVE LYMPHADENOPATHY; SHML		538062
Number Sign	602849	MUENKE SYNDROME; MNKES	MUENKE NONSYNDROMIC CORONAL CRANIOSYNOSTOSIS		6635
Number Sign	602875	ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE; AMDM	ST. HELENA DYSPLASIA		527918
Percent	602966	OROFACIAL CLEFT 2; OFC2	CLEFT LIP WITH OR WITHOUT CLEFT PALATE, NONSYNDROMIC, 2		634334
NULL	602994	LEUKOREGULIN			843606
Percent	603003	BILE DUCT CYSTS	CHOLEDOCHAL CYSTS;; CHOLEDOCHOCELE		837039
Percent	603010	DEAFNESS, AUTOSOMAL RECESSIVE 17; DFNB17			820769
Percent	603013	SCHIZOPHRENIA 6; SCZD6	SCHIZOPHRENIA SUSCEPTIBILITY LOCUS, CHROMOSOME 8p-RELATED		537822
Number Sign	603034	MYASTHENIC SYNDROME, CONGENITAL, 5; CMS5	ENDPLATE ACETYLCHOLINESTERASE DEFICIENCY; EAD;; ENGEL CONGENITAL MYASTHENIC SYNDROME;; MYASTHENIC SYNDROME, CONGENITAL, ENGEL TYPE;; CONGENITAL MYASTHENIC SYNDROME TYPE Ic, FORMERLY; CMS1C, FORMERLY;; CMS Ic, FORMERLY		6880
Percent	603040	TUMOR SUPPRESSOR GENE ON CHROMOSOME 11	TSG11;; NONSMALL CELL LUNG CANCER SUPPRESSOR		842652
Number Sign	603041	MITOCHONDRIAL DNA DEPLETION SYNDROME 1 (MNGIE TYPE); MTDPS1	MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME, TYMP-RELATED;; MNGIE, TYMP-RELATED;; MYONEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME;; POLYNEUROPATHY, OPHTHALMOPLEGIA, LEUKOENCEPHALOPATHY, AND INTESTINAL PSEUDOOBSTRUCTION;; POLIP SYNDROME		6838
Percent	603047	ASTIGMATISM			842653
Number Sign	603075	MACULAR DEGENERATION, AGE-RELATED, 1; ARMD1	MACULOPATHY, AGE-RELATED, 1		513947
Percent	603098	DEAFNESS, AUTOSOMAL RECESSIVE 13; DFNB13			820806
Percent	603116	CDAGS SYNDROME	CRANIOSYNOSTOSIS, ANAL ANOMALIES, AND POROKERATOSIS;; CAP SYNDROME		836822
NULL	603117	SPASTIC PARAPLEGIA, OPTIC ATROPHY, MICROCEPHALY, AND XY SEX REVERSAL			836821
NULL	603119	APRAXIA OF EYELID OPENING			836820
NULL	603133	DISLOCATED ELBOWS, BOWED TIBIAS, SCOLIOSIS, DEAFNESS, CATARACT, MICROCEPHALY, AND MENTAL RETARDATION			836810
Number Sign	603147	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ic; CDG1C	CDG Ic; CDGIc;; CARBOHYDRATE-DEFICIENT GLYCOPROTEIN SYNDROME, TYPE I, WITH DEFICIENT GLYCOSYLATION OF DOLICHOL-LINKED OLIGOSACCHARIDE, FORMERLY;; CARBOHYDRATE-DEFICIENT GLYCOPROTEIN SYNDROME, TYPE V, FORMERLY; CDGS5, FORMERLY		7457
Percent	603165	DERMATITIS, ATOPIC	ATOD;; ECZEMA, ATOPIC	DERMATITIS, ATOPIC, 1, INCLUDED; ATOD1, INCLUDED	635204
NULL	603174	HOMOCYSTEINEMIA	HYPERHOMOCYSTEINEMIA		601694
Percent	603175	SCHIZOPHRENIA 5; SCZD5	SCHIZOPHRENIA 5 WITH OR WITHOUT AN AFFECTIVE DISORDER;; SCHIZOPHRENIA SUSCEPTIBILITY LOCUS, CHROMOSOME 6q-RELATED		836787
Percent	603176	SCHIZOPHRENIA 7; SCZD7	SCHIZOPHRENIA 7 WITH OR WITHOUT AN AFFECTIVE DISORDER;; SCHIZOPHRENIA SUSCEPTIBILITY LOCUS, CHROMOSOME 13q-RELATED		836786
Percent	603188	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 8; BMIQ8	OBESITY, SUSCEPTIBILITY TO		836778
Number Sign	603194	MECKEL SYNDROME, TYPE 2; MKS2	MECKEL-GRUBER SYNDROME, TYPE 2		520742
Percent	603204	EPILEPSY, NOCTURNAL FRONTAL LOBE, 2; ENFL2			8152
Percent	603206	SCHIZOPHRENIA 8; SCZD8	SCHIZOPHRENIA 8 WITH OR WITHOUT AN AFFECTIVE DISORDER;; SCHIZOPHRENIA SUSCEPTIBILITY LOCUS, CHROMOSOME 18-RELATED		843122
Number Sign	603218	HUNTINGTON DISEASE-LIKE 1; HDL1	HUNTINGTON-LIKE NEURODEGENERATIVE DISORDER 1; HLN1;; HUNTINGTON-LIKE NEURODEGENERATIVE DISORDER, AUTOSOMAL DOMINANT;; PRION DISEASE, EARLY-ONSET, WITH PROMINENT PSYCHIATRIC FEATURES		8169
Percent	603221	MYOPIA 3, AUTOSOMAL DOMINANT; MYP3			820815
Number Sign	603233	PSEUDOHYPOPARATHYROIDISM, TYPE IB; PHP1B	PHP IB		526748
Percent	603266	DIABETES MELLITUS, INSULIN-DEPENDENT, 17; IDDM17	INSULIN-DEPENDENT DIABETES MELLITUS 17		849837
Number Sign	603278	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1; FSGS1	GLOMERULOSCLEROSIS, FOCAL SEGMENTAL, 1		532936
Number Sign	603284	CEREBRAL CAVERNOUS MALFORMATIONS 2; CCM2			7998
Number Sign	603285	CEREBRAL CAVERNOUS MALFORMATIONS 3; CCM3			7994
NULL	603323	MUSCULAR DYSTROPHY, CONGENITAL, WITH CEREBELLAR ATROPHY			843423
Percent	603342	SCHIZOPHRENIA 2; SCZD2	SCHIZOPHRENIA SUSCEPTIBILITY LOCUS, CHROMOSOME 11q-RELATED		831489
Number Sign	603358	GRACILE SYNDROME	GROWTH RETARDATION, AMINO ACIDURIA, CHOLESTASIS, IRON OVERLOAD, LACTIC ACIDOSIS, AND EARLY DEATH;; FINNISH LETHAL NEONATAL METABOLIC SYNDROME; FLNMS;; LACTIC ACIDOSIS, FINNISH, WITH HEPATIC HEMOSIDEROSIS;; FELLMAN SYNDROME		524118
Number Sign	603373	HYPERTHYROIDISM, FAMILIAL GESTATIONAL			539511
NULL	603376	LONG CHAIN FATTY ACIDS, DEFECT IN TRANSPORT OF			843469
Number Sign	603383	GLAUCOMA 1, OPEN ANGLE, F; GLC1F	GLAUCOMA, PRIMARY OPEN ANGLE, ADULT-ONSET		527584
Percent	603386	THYROID CARCINOMA, NONMEDULLARY, WITH OR WITHOUT CELL OXYPHILIA	TCO;; TCO1		841097
Number Sign	603387	MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME 1; MPPH1	MEGALENCEPHALY, POLYMICROGYRIA, MEGA CORPUS CALLOSUM SYNDROME; MPPH;; MEG-PMG-MEGACC SYNDROME;; MEGALENCEPHALY, MEGA CORPUS CALLOSUM, AND COMPLETE LACK OF MOTOR DEVELOPMENT		6353
Percent	603388	GRAVES DISEASE, SUSCEPTIBILITY TO, 2	GRD2		831548
NULL	603389	OSEBOLD SKELETAL DYSPLASIA/OSTEOLYSIS SYNDROME			843485
NULL	603393	OSTEOSCLEROTIC CHONDRODYSPLASIA, LETHAL, WITH INTRACELLULAR INCLUSIONS			836317
NULL	603394	MICROCEPHALY, SEVERE, WITH SKELETAL ANOMALIES INCLUDING POSTERIOR RIB-GAP DEFECTS			836316
NULL	603396	TONOKI SYNDROME			843498
NULL	603416	RIBOSOMAL PROTEIN L21 PSEUDOGENE 1; RPL21P1			843687
NULL	603438	RADIOULNAR SYNOSTOSIS WITH MICROCEPHALY, SHORT STATURE, SCOLIOSIS, AND MENTAL RETARDATION	TSUKAHARA SYNDROME;; GIUFFRE-TSUKAHARA SYNDROME		843702
NULL	603439	EXPANSILE BONE LESIONS			844148
NULL	603446	OROACRAL SYNDROME, VERLOES-KOULISCHER TYPE			851320
Number Sign	603457	BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS	ARHINIA, CHOANAL ATRESIA, MICROPHTHALMIA, AND HYPOGONADOTROPIC HYPOGONADISM		515397
NULL	603463	HYPOSPADIAS, HYPERTELORISM, UPPER LID COLOBOMA, AND MIXED-TYPE HEARING LOSS			832050
Number Sign	603467	FANCONI ANEMIA, COMPLEMENTATION GROUP F; FANCF			6793
Number Sign	603471	CITRULLINEMIA, TYPE II, ADULT-ONSET; CTLN2	CITRIN DEFICIENCY		7007
NULL	603472	NEURONAL INTRANUCLEAR INCLUSION DISEASE	NIID		70459
Number Sign	603511	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1E; LGMD1E	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1D, FORMERLY; LGMD1D, FORMERLY		7551
Number Sign	603513	CEREBRAL PALSY, SPASTIC QUADRIPLEGIC, 1; CPSQ1			534096
Number Sign	603516	SPINOCEREBELLAR ATAXIA 10; SCA10			7547
NULL	603523	CHYLOTHORAX, CONGENITAL	HYDROTHORAX, CONGENITAL		843979
NULL	603529	DYSERYTHROPOIESIS, CONGENITAL, WITH ULTRASTRUCTURALLY NORMAL ERYTHROBLAST HETEROCHROMATIN			832442
NULL	603530	LIGHT FIXATION SEIZURE SYNDROME	LFSS;; M SYNDROME		835869
Number Sign	603543	LIMB-MAMMARY SYNDROME; LMS			7598
Number Sign	603546	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 2; SEMDJL2	SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, HALL TYPE;; SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, LEPTODACTYLIC TYPE;; SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH MULTIPLE DISLOCATIONS, HALL TYPE		70564
Number Sign	603552	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 4; FHL4	HPLH4;; HLH4		7619
Number Sign	603553	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 2; FHL2	HPLH2;; HLH2		7615
Number Sign	603554	OMENN SYNDROME	RETICULOENDOTHELIOSIS, FAMILIAL, WITH EOSINOPHILIA;; SEVERE COMBINED IMMUNODEFICIENCY WITH HYPEREOSINOPHILIA		522683
Number Sign	603563	SPASTIC PARAPLEGIA 8, AUTOSOMAL DOMINANT; SPG8			7571
NULL	603569	TRACHEOBRONCHIAL STENOSIS, CONGENITAL			835851
NULL	603572	MICROCEPHALY, FACIAL ABNORMALITIES, MICROMELIA, AND MENTAL RETARDATION			835842
Number Sign	603585	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIf; CDG2F	CDG IIf; CDGIIf		7390
NULL	603587	FOLLICULAR ATROPHODERMA, PERIORAL PIGMENTED, WITH MILIA AND EPIDERMOID CYSTS			835836
NULL	603588	PAROTITIS, JUVENILE RECURRENT			844038
NULL	603589	FACIAL DYSMORPHISM, SELECTIVE TOOTH AGENESIS, AND CHOROID CALCIFICATION			835835
Number Sign	603592	XANTHINURIA, TYPE II; XAN2	XANTHINE DEHYDROGENASE AND ALDEHYDE OXIDASE, COMBINED DEFICIENCY OF		509423
NULL	603595	CRANIOSYNOSTOSIS WITH ECTOPIA LENTIS			835834
Number Sign	603596	POLYDACTYLY			835829
NULL	603600	OSTEOMA OF CRANIAL VAULT, FAMILIAL			835573
Number Sign	603622	DEAFNESS, AUTOSOMAL DOMINANT 17; DFNA17		COCHLEOSACCULAR DEGENERATION, INCLUDED	8120
Number Sign	603629	DEAFNESS, AUTOSOMAL RECESSIVE 21; DFNB21			8148
NULL	603641	NEUROENDOCRINE CARCINOMA OF SALIVARY GLANDS, SENSORINEURAL HEARING LOSS, AND ENAMEL HYPOPLASIA			844235
NULL	603642	ATRIAL SEPTAL DEFECT, SECUNDUM, WITH VARIOUS CARDIAC AND NONCARDIAC DEFECTS			844666
NULL	603643	SITUS INVERSUS TOTALIS WITH CYSTIC DYSPLASIA OF KIDNEYS AND PANCREAS			835545
Number Sign	603649	CONE-ROD DYSTROPHY 7; CORD7			515317
NULL	603656	EXOSTOSIS, DUPUYTREN SUBUNGUAL			835539
Percent	603663	MENTAL HEALTH WELLNESS 1	MHW1		833084
NULL	603664	MENTAL HEALTH WELLNESS 2	MHW2		842077
NULL	603669	ECCRINE SYRINGOFIBROADENOMATOSIS WITH EYELID ABNORMALITIES			844253
NULL	603670	BLUE NEVI, FAMILIAL MULTIPLE			835528
Number Sign	603671	ACROMELIC FRONTONASAL DYSOSTOSIS; AFND			514660
Percent	603678	DEAFNESS, AUTOSOMAL RECESSIVE 14; DFNB14			820919
Number Sign	603688	PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY	PCBC;; CAPB		503475
Number Sign	603689	HEREDITARY MYOPATHY WITH EARLY RESPIRATORY FAILURE; HMERF	MYOPATHY, PROXIMAL, WITH EARLY RESPIRATORY MUSCLE INVOLVEMENT; MPRM;; EDSTROM MYOPATHY		8150
Percent	603694	DIABETES MELLITUS, NONINSULIN-DEPENDENT, 3	NIDDM3;; NONINSULIN-DEPENDENT DIABETES MELLITUS 3		822795
Number Sign	603720	DEAFNESS, AUTOSOMAL RECESSIVE 16; DFNB16			6596
Number Sign	603736	OHDO SYNDROME, SBBYS VARIANT; SBBYSS	SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;; YOUNG-SIMPSON SYNDROME; YSS		6607
NULL	603737	OVARIAN GERM CELL CANCER			835210
NULL	603740	ACRODYSPLASIA WITH OSSIFICATION ABNORMALITIES, SHORT STATURE, AND FIBULAR HYPOPLASIA			835204
NULL	603744	PAPILLARY THYROID MICROCARCINOMA			833613
Number Sign	603776	HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, 3; HCHOLA3	FH3	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 1, INCLUDED; LDLCQ1, INCLUDED	6418
Number Sign	603786	STARGARDT DISEASE 4; STGD4			526715
NULL	603794	HYDROA VACCINIFORME, FAMILIAL			844572
Percent	603802	MICROCEPHALY WITH SIMPLIFIED GYRAL PATTERN			834864
NULL	603806	URINARY TRACT INFECTIONS, RECURRENT, SUSCEPTIBILITY TO			835146
Number Sign	603813	HYPERCHOLESTEROLEMIA, AUTOSOMAL RECESSIVE; ARH	HYPERCHOLESTEROLEMIA, AUTOSOMAL RECESSIVE, 1, FORMERLY; ARH1, FORMERLY;; FHCB1, FORMERLY;; HYPERCHOLESTEROLEMIA, AUTOSOMAL RECESSIVE, 2, FORMERLY; ARH2, FORMERLY;; FHCB2, FORMERLY		70641
NULL	603828	BRITTLE BONE DISORDER			834838
Number Sign	603829	VENTRICULAR FIBRILLATION, PAROXYSMAL FAMILIAL, 1; VF1	VF;; IVF	VENTRICULAR FIBRILLATION DURING MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO, INCLUDED	530413
Number Sign	603830	LONG QT SYNDROME 3; LQT3		LONG QT SYNDROME 3, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED;; LONG QT SYNDROME 2/3, DIGENIC, INCLUDED; LQT2/3, DIGENIC, INCLUDED;; LONG QT SYNDROME 3/6, DIGENIC, INCLUDED; LQT3/6, DIGENIC, INCLUDED	7173
Percent	603855	CYSTIC FIBROSIS, MODIFIER OF, 1; CFM1		MECONIUM ILEUS IN CYSTIC FIBROSIS, SUSCEPTIBILITY TO, INCLUDED	834167
Number Sign	603860	MEDULLARY CYSTIC KIDNEY DISEASE 2; MCKD2	MEDULLARY CYSTIC KIDNEY DISEASE 2, AUTOSOMAL DOMINANT; ADMCKD2		6970
Number Sign	603896	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM	CHILDHOOD ATAXIA WITH CENTRAL NERVOUS SYSTEM HYPOMYELINIZATION; CACH;; VANISHING WHITE MATTER LEUKODYSTROPHY;; CREE LEUKOENCEPHALOPATHY; CLE	VANISHING WHITE MATTER LEUKODYSTROPHY WITH OVARIAN FAILURE, INCLUDED;; OVARIOLEUKODYSTROPHY, INCLUDED	6938
Number Sign	603902	BETA-THALASSEMIA, DOMINANT INCLUSION BODY TYPE	DYSERYTHROPOIETIC ANEMIA, CONGENITAL, IRISH OR WEATHERALL TYPE		514280
Number Sign	603903	SICKLE CELL ANEMIA			7686
Number Sign	603909	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE IIA; ALPS2A	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE II; ALPS2		7685
Percent	603918	HYPERTENSION, ESSENTIAL, SUSCEPTIBILITY TO, 1	HYT1		844989
Number Sign	603932	INTERVERTEBRAL DISC DISEASE; IDD		LUMBAR DISC DISEASE, INCLUDED; LDD, INCLUDED;; LUMBAR DISC HERNIATION, SUSCEPTIBILITY TO, INCLUDED;; LUMBAR DISC DEGENERATION, SUSCEPTIBILITY TO, INCLUDED	507835
Number Sign	603933	MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 1; MVCD1	PROLIFERATIVE RETINOPATHY, DIABETIC, SUSCEPTIBILITY TO;; NONPROLIFERATIVE RETINOPATHY, DIABETIC, SUSCEPTIBILITY TO	MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, INCLUDED;; MICROVASCULAR COMPLICATIONS OF DIABETES, PROTECTION AGAINST, INCLUDED;; NEPHROPATHY, DIABETIC, SUSCEPTIBILITY TO, INCLUDED;; END-STAGE RENAL DISEASE, DIABETIC, SUSCEPTIBILITY TO, INCLUDED;; PROLIFERATIVE RETINOPATHY, DIABETIC, SUSCEPTIBILITY TO, INCLUDED;; NONPROLIFERATIVE RETINOPATHY, DIABETIC, SUSCEPTIBILITY TO, INCLUDED;; NEUROPATHY, DIABETIC, SUSCEPTIBILITY TO, INCLUDED	525361
Percent	603935	PSORIASIS 4, SUSCEPTIBILITY TO; PSORS4			821300
Number Sign	603956	CERVICAL CANCER			538953
Percent	603964	DEAFNESS, AUTOSOMAL DOMINANT 16; DFNA16			821360
Number Sign	603965	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 2; FSGS2	GLOMERULOSCLEROSIS, FOCAL SEGMENTAL, 2		531276
Number Sign	604004	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 1; MLC1	VACUOLATING MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS;; LVM;; VL;; LEUKOENCEPHALOPATHY WITH SWELLING AND CYSTS;; VAN DER KNAAP DISEASE		7479
Percent	604060	DEAFNESS, AUTOSOMAL RECESSIVE 20; DFNB20			820435
Number Sign	604091	HYPOALPHALIPOPROTEINEMIA, PRIMARY	HYPOALPHALIPOPROTEINEMIA, FAMILIAL; FHA;; HIGH DENSITY LIPOPROTEIN DEFICIENCY; HDLD;; FAMILIAL HDL DEFICIENCY; FHD;; HDL CHOLESTEROL, LOW SERUM; HDLC		532250
Number Sign	604093	KERATOSIS PILARIS ATROPHICANS; KPA			532449
Number Sign	604116	CONE-ROD DYSTROPHY 3; CORD3			522496
Number Sign	604117	VOHWINKEL SYNDROME, VARIANT FORM	VOHWINKEL SYNDROME WITH ICHTHYOSIS;; MUTILATING KERATODERMA WITH ICHTHYOSIS;; LORICRIN KERATODERMA		534343
Number Sign	604121	CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT; ADCADN			530573
Number Sign	604129	EPIDERMOLYSIS BULLOSA PRURIGINOSA	DYSTROPHIC EPIDERMOLYSIS BULLOSA PRURIGINOSA;; DEB, PRURIGINOSA		507747
Number Sign	604131	ALPHA-THALASSEMIA			7997
Number Sign	604145	CARDIOMYOPATHY, DILATED, 1G; CMD1G			8019
NULL	604154	ALZHEIMER DISEASE WITHOUT NEUROFIBRILLARY TANGLES			828123
Number Sign	604168	CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN	CATARACT, CONGENITAL, WITH FACIAL DYSMORPHISM AND NEUROPATHY		6690
Number Sign	604169	LEFT VENTRICULAR NONCOMPACTION 1; LVNC1	LEFT VENTRICULAR NONCOMPACTION 1 WITH OR WITHOUT CONGENITAL HEART DEFECTS		513172
NULL	604172	CARONTE	CAR		828515
Number Sign	604173	POIKILODERMA WITH NEUTROPENIA; PN	POIKILODERMA WITH NEUTROPENIA, CLERICUZIO-TYPE		536045
NULL	604183	CHOLESTEATOMA, CONGENITAL			828112
Percent	604185	FACIAL PARESIS, HEREDITARY CONGENITAL, 2; HCFP2	MOEBIUS SYNDROME 3, FORMERLY; MBS3, FORMERLY;; MOBIUS SYNDROME 3, FORMERLY		820186
Number Sign	604187	SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10	SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY		536311
Percent	604201	HEPATIC FIBROSIS, SEVERE, SUSCEPTIBILITY TO, DUE TO SCHISTOSOMA MANSONI INFECTION	SM2	HEPATIC FIBROSIS, SEVERE, SUSCEPTIBILITY TO, DUE TO SCHISTOSOMA JAPONICUM INFECTION, INCLUDED	848871
NULL	604211	HIRSCHSPRUNG DISEASE WITH HEART DEFECTS, LARYNGEAL ANOMALIES, AND PREAXIAL POLYDACTYLY			827961
Number Sign	604213	CHUDLEY-MCCULLOUGH SYNDROME; CMCS	DEAFNESS, SENSORINEURAL, WITH PARTIAL AGENESIS OF THE CORPUS CALLOSUM AND ARACHNOID CYSTS;; DEAFNESS, AUTOSOMAL RECESSIVE 82, FORMERLY; DFNB82, FORMERLY		505732
Number Sign	604218	ENCEPHALOPATHY, FAMILIAL, WITH NEUROSERPIN INCLUSION BODIES; FENIB	ENCEPHALOPATHY, FAMILIAL, WITH COLLINS BODIES		511897
Number Sign	604219	CATARACT 9, MULTIPLE TYPES; CTRCT9	CATARACT 9, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;; CATARACT, AUTOSOMAL DOMINANT;; CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 1; CATC1		531910
Number Sign	604229	ANTERIOR SEGMENT DYSGENESIS 5; ASGD5			505705
Number Sign	604232	LEBER CONGENITAL AMAUROSIS 3; LCA3		RETINITIS PIGMENTOSA, JUVENILE, SPATA7-RELATED, INCLUDED	6354
Number Sign	604233	GENERALIZED EPILEPSY WITH FEBRILE SEIZURES PLUS, TYPE 1; GEFSP1	GEFS+, TYPE 1; GEFS+1		6352
Number Sign	604250	HEMOCHROMATOSIS, TYPE 3; HFE3	HEMOCHROMATOSIS DUE TO DEFECT IN TRANSFERRIN RECEPTOR 2		6301
Percent	604254	DYSLEXIA, SUSCEPTIBILITY TO, 3; DYX3			827935
NULL	604257	CAMERA-MARUGO-COHEN SYNDROME			827933
Number Sign	604271	GROWTH HORMONE INSENSITIVITY, PARTIAL; GHIP			821581
Number Sign	604273	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 1; MC5DN1	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, ATPAF2 TYPE		499203
Number Sign	604278	RENAL TUBULAR ACIDOSIS, PROXIMAL, WITH OCULAR ABNORMALITIES AND MENTAL RETARDATION	RTA, PROXIMAL, AUTOSOMAL RECESSIVE		540900
Number Sign	604286	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2E; LGMD2E			538954
NULL	604287	CARNEY TRIAD	GASTRIC LEIOMYOSARCOMA, PULMONARY CHONDROMA, AND EXTRAADRENAL PARAGANGLIOMA		827920
Percent	604288	CARDIOMYOPATHY, DILATED, 1H; CMD1H	CARDIOMYOPATHY, DILATED, WITH CONDUCTION DEFECT		7244
Number Sign	604290	ACERULOPLASMINEMIA		HYPOCERULOPLASMINEMIA, INCLUDED;; CERULOPLASMIN DEFICIENCY, INCLUDED;; HEMOSIDEROSIS, SYSTEMIC, DUE TO ACERULOPLASMINEMIA, INCLUDED	7191
NULL	604291	ASCARIS LUMBRICOIDES INFECTION, SUSCEPTIBILITY TO	ASCARIASIS, SUSCEPTIBILITY TO		827918
Number Sign	604292	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3; EEC3	EEC SYNDROME 3		7190
Number Sign	604302	RHEUMATOID ARTHRITIS, SYSTEMIC JUVENILE	SYSTEMIC JUVENILE RHEUMATOID ARTHRITIS		536262
Number Sign	604307	CATARACT 2, MULTIPLE TYPES; CTRCT2	CATARACT 2, MULTIPLE TYPES, WITH OR WITHOUT MICROCORNEA;; CATARACT, COPPOCK-LIKE; CCL		526253
Number Sign	604308	MASS SYNDROME	MASS PHENOTYPE;; OVERLAP CONNECTIVE TISSUE DISEASE; OCTD		532218
Percent	604314	BLEPHAROPHIMOSIS WITH FACIAL AND GENITAL ANOMALIES AND MENTAL RETARDATION	BLEPHAROPHIMOSIS-MENTAL RETARDATION SYNDROME, VERLOES TYPE		827778
NULL	604315	ANEMIA, CONGENITAL HYPOPLASTIC, WITH MULTIPLE CONGENITAL ANOMALIES/MENTAL RETARDATION SYNDROME			827777
Percent	604316	PSORIASIS 5, SUSCEPTIBILITY TO; PSORS5			820190
Number Sign	604317	MICROCEPHALY 2, PRIMARY, AUTOSOMAL RECESSIVE, WITH OR WITHOUT CORTICAL MALFORMATIONS; MCPH2			6788
Number Sign	604320	SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 1; DSMA1	SPINAL MUSCULAR ATROPHY WITH RESPIRATORY DISTRESS 1; SMARD1;; NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE VI; DHMN6;; HMN6;; HMN VI;; SEVERE INFANTILE AXONAL NEUROPATHY WITH RESPIRATORY FAILURE; SIANRF;; NEURONOPATHY, SEVERE INFANTILE AXONAL, WITH RESPIRATORY FAILURE;; SPINAL MUSCULAR ATROPHY, DIAPHRAGMATIC		524828
Number Sign	604321	MICROCEPHALY 4, PRIMARY, AUTOSOMAL RECESSIVE; MCPH4			6817
