prefix	MIM_number	preferred_title	alternative_title	symbols
Percent	605549	CONE-ROD DYSTROPHY 8; CORD8		
Percent	605552	ABDOMINAL OBESITY-METABOLIC SYNDROME 1; AOMS1	METABOLIC SYNDROME X	ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1, INCLUDED;; METABOLIC SYNDROME, PROTECTION AGAINST, INCLUDED
Percent	605572	ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 2	AOMS2	
Percent	605582	CARDIOMYOPATHY, DILATED, 1K; CMD1K		
Number Sign	605583	DEAFNESS, AUTOSOMAL DOMINANT 25; DFNA25		
Number Sign	605588	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B1; CMT2B1	CHARCOT-MARIE-TOOTH DISEASE, NEURONAL, TYPE 2B1;; CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL RECESSIVE, TYPE 2B1;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2B1	
Number Sign	605589	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B2; CMT2B2	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL RECESSIVE, TYPE 2B2;; CHARCOT-MARIE-TOOTH DISEASE, NEURONAL, TYPE 2B2;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2B2;; ARCMT2B	
Number Sign	605594	DEAFNESS, AUTOSOMAL DOMINANT 39, WITH DENTINOGENESIS IMPERFECTA 1	DFNA39/DENTINOGENESIS IMPERFECTA 1 SYNDROME;; DFNA39/DGI1 SYNDROME;; DGI1/DFNA39 SYNDROME	
Percent	605598	DIABETES MELLITUS, INSULIN-DEPENDENT, 18; IDDM18	INSULIN-DEPENDENT DIABETES MELLITUS 18	
Percent	605606	PSORIASIS 7, SUSCEPTIBILITY TO; PSORS7		
NULL	605618	TETRALOGY OF FALLOT SYNDROME, AUTOSOMAL RECESSIVE		
Percent	605627	CEREBROOCULONASAL SYNDROME		
Percent	605635	HYPERALDOSTERONISM, FAMILIAL, TYPE II; HALD2	FH II	
Number Sign	605637	MYOPATHY, PROXIMAL, AND OPHTHALMOPLEGIA; MYPOP	MYOPATHY WITH CONGENITAL JOINT CONTRACTURES, OPHTHALMOPLEGIA, AND RIMMED VACUOLES;; INCLUSION BODY MYOPATHY 3, AUTOSOMAL DOMINANT, FORMERLY; IBM3, FORMERLY	
Percent	605642	THYROID CARCINOMA, PAPILLARY, WITH PAPILLARY RENAL NEOPLASIA	PTCPRN;; PRN1	
Number Sign	605670	LATE-ONSET RETINAL DEGENERATION; LORD	RETINAL DEGENERATION, LATE-ONSET, AUTOSOMAL DOMINANT	
NULL	605672	CEREBELLAR ATAXIA AND HYPERGONADOTROPIC HYPOGONADISM		
Number Sign	605676	CARDIOMYOPATHY, DILATED, WITH WOOLLY HAIR AND KERATODERMA; DCWHK	CARVAJAL SYNDROME;; PALMOPLANTAR KERATODERMA WITH LEFT VENTRICULAR CARDIOMYOPATHY AND WOOLLY HAIR	
Number Sign	605711	MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 1; MMDS1	MMDS	
Number Sign	605714	CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED	AMYLOIDOSIS, CEREBROARTERIAL, APP-RELATED;; AMYLOIDOSIS, HEREDITARY, WITH CEREBRAL HEMORRHAGE, DUTCH VARIANT; HCHWAD;; CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, DUTCH VARIANT;; CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, IOWA VARIANT;; CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, ITALIAN VARIANT;; CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, FLEMISH VARIANT;; CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED, ARCTIC VARIANT	
Number Sign	605724	FANCONI ANEMIA, COMPLEMENTATION GROUP D1; FANCD1	FAD1	
Number Sign	605726	SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 2; DSMA2	NEURONOPATHY, DISTAL HEREDITARY MOTOR, JERASH TYPE;; NEUROPATHY, DISTAL HEREDITARY MOTOR, JERASH TYPE; HMNJ;; SPINAL MUSCULAR ATROPHY, JERASH TYPE	
Percent	605727	OTOSCLEROSIS 2; OTSC2		
Percent	605728	CATARACT 25; CTRCT25	CATARACT, CENTRAL SACCULAR, WITH SUTURAL OPACITIES; CCSSO;; CATARACT, CENTRAL POUCH-LIKE, WITH SUTURAL OPACITIES	
Percent	605735	BLEEDING DISORDER, PLATELET-TYPE, 12; BDPLT12	PROSTAGLANDIN-ENDOPEROXIDE SYNTHASE 1 DEFICIENCY, PLATELET;; PGHS1 DEFICIENCY;; PLATELET CYCLOOXYGENASE 1 DEFICIENCY;; PLATELET COX1 DEFICIENCY	
Percent	605738	MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 2; MCOPCB2	MICROPHTHALMIA, COLOBOMATOUS, ISOLATED 2; MCOPCB2	
Percent	605746	ANISOMASTIA		
Percent	605749	CATARACT 26, MULTIPLE TYPES; CTRCT26	CATARACT, AUTOSOMAL RECESSIVE, EARLY-ONSET, PULVERULENT; CAAR	
Percent	605750	EXUDATIVE VITREORETINOPATHY 3; EVR3		
Number Sign	605751	SEIZURES, BENIGN FAMILIAL INFANTILE, 2; BFIS2	CONVULSIONS, BENIGN FAMILIAL INFANTILE, 2; BFIC2	
NULL	605756	OVARIAN DYSGENESIS, HYPERGONADOTROPIC, WITH SHORT STATURE AND RECURRENT METABOLIC ACIDOSIS	GONADAL DYSGENESIS, HYPERGONADOTROPIC, XX TYPE, WITH SHORT STATURE AND RECURRENT METABOLIC ACIDOSIS	
Percent	605779	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 7; NDNC7	ONYCHODYSPLASIA, ISOLATED CONGENITAL	
Number Sign	605803	DERMATITIS, ATOPIC, 2; ATOD2		
Percent	605804	DERMATITIS, ATOPIC, 3; ATOD3	DERMATITIS, ATOPIC, WITH ASTHMA	
Percent	605805	DERMATITIS, ATOPIC, 4; ATOD4		
NULL	605808	BIRDSHOT CHORIORETINOPATHY	BSCR	
Number Sign	605809	MYASTHENIC SYNDROME, CONGENITAL, 4A, SLOW-CHANNEL; CMS4A	CONGENITAL MYASTHENIC SYNDROME TYPE Ia1, FORMERLY; CMS1A1, FORMERLY;; CMS Ia1, FORMERLY	
Number Sign	605814	CITRULLINEMIA, TYPE II, NEONATAL-ONSET	CITRULLINEMIA, TYPE II, NEONATAL-ONSET, WITH OR WITHOUT FAILURE TO THRIVE AND DYSLIPIDEMIA;; CHOLESTASIS, NEONATAL INTRAHEPATIC, CAUSED BY CITRIN DEFICIENCY; NICCD	
Percent	605818	DEAFNESS, AUTOSOMAL RECESSIVE 27; DFNB27		
Number Sign	605820	NONAKA MYOPATHY; NM	NONAKA DISTAL MYOPATHY;; MYOPATHY, DISTAL, WITH OR WITHOUT RIMMED VACUOLES;; INCLUSION BODY MYOPATHY, HEREDITARY, AUTOSOMAL RECESSIVE; HIBM;; INCLUSION BODY MYOPATHY, QUADRICEPS-SPARING; QSM;; GNE MYOPATHY;; INCLUSION BODY MYOPATHY 2, AUTOSOMAL RECESSIVE, FORMERLY; IBM2, FORMERLY	
Number Sign	605822	SPONDYLOOCULAR SYNDROME; SOS		
Percent	605827	BASALOID FOLLICULAR HAMARTOMA SYNDROME, GENERALIZED, AUTOSOMAL DOMINANT; GBFHS		
Percent	605833	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 2; BMND2		
NULL	605838	BABY RATTLE PELVIS DYSPLASIA		
Percent	605841	NARCOLEPSY 2, SUSCEPTIBILITY TO; NRCLP2		
Percent	605844	DERMATITIS, ATOPIC, 5; ATOD5		
Percent	605845	DERMATITIS, ATOPIC, 6; ATOD6		
Number Sign	605850	DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY; DMGDHD	DMGDH DEFICIENCY	
Percent	605856	SHORT STATURE, MENTAL RETARDATION, CALLOSAL AGENESIS, HEMINASAL HYPOPLASIA, MICROPHTHALMIA, AND ATYPICAL CLEFTING		
Number Sign	605899	GLYCINE ENCEPHALOPATHY; GCE	HYPERGLYCINEMIA, NONKETOTIC; NKH	HYPERGLYCINEMIA, TRANSIENT NEONATAL, INCLUDED; TNH, INCLUDED
Number Sign	605909	PARKINSON DISEASE 6, AUTOSOMAL RECESSIVE EARLY-ONSET; PARK6	PARKINSON DISEASE 6, EARLY-ONSET; PARK6	PARKINSON DISEASE 6, LATE-ONSET, SUSCEPTIBILITY TO, INCLUDED;; PARKINSON DISEASE, AUTOSOMAL RECESSIVE EARLY-ONSET, DIGENIC, PINK1/DJ1, INCLUDED
Number Sign	605911	3-HYDROXY-3-METHYLGLUTARYL-CoA SYNTHASE-2 DEFICIENCY; HMGCS2D	MITOCHONDRIAL HMG-CoA SYNTHASE DEFICIENCY;; HMGCS2 DEFICIENCY	
Percent	605913	BLEEDING DISORDER, EAST TEXAS TYPE	BDET	
Percent	605934	HOLOPROSENCEPHALY 6; HPE6		
NULL	605935	ARTHROPATHY, EROSIVE		
NULL	605944	LIVER FIBROCYSTIC DISEASE AND POLYDACTYLY		
NULL	605945	CRUMPLED HELICES AND SMALL MOUTH		
Percent	605946	METAPHYSEAL DYSPLASIA, BRAUN-TINSCHERT TYPE		
Percent	605967	ACROPECTORAL SYNDROME; ACRPS	ACRP SYNDROME;; DUNDAR ACROPECTORAL SYNDROME;; SYNDACTYLY, PREAXIAL POLYDACTYLY, AND STERNAL DEFORMITY	
Number Sign	605990	NEPHROLITHIASIS, URIC ACID, SUSCEPTIBILITY TO	UAN;; UROLITHIASIS, URIC ACID, SUSCEPTIBILITY TO	
Number Sign	606002	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 1; SCAR1	ATAXIA-OCULOMOTOR APRAXIA 2; AOA2;; ATAXIA-OCULAR APRAXIA 2	
Number Sign	606003	TRANSALDOLASE DEFICIENCY	EYAID SYNDROME;; TALDO DEFICIENCY	
Percent	606012	DEAFNESS, AUTOSOMAL DOMINANT 18; DFNA18		
Percent	606035	FASTING INSULIN LEVEL QUANTITATIVE TRAIT LOCUS 1; FIQTL1		
Percent	606049	ACROMEGALOID FEATURES, OVERGROWTH, CLEFT PALATE, AND HERNIA	AOCH	
Percent	606053	AUTISM, SUSCEPTIBILITY TO, 5; AUTS5	PHRASE SPEECH DELAY, AUTISM-RELATED;; AUTISM-RELATED SPEECH DELAY	
Number Sign	606054	PROPIONIC ACIDEMIA	PROPIONYL-CoA CARBOXYLASE DEFICIENCY;; PCC DEFICIENCY;; GLYCINEMIA, KETOTIC;; HYPERGLYCINEMIA WITH KETOACIDOSIS AND LEUKOPENIA;; KETOTIC HYPERGLYCINEMIA	
Number Sign	606056	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIb; CDG2B	CDG IIb; CDGIIb;; GLUCOSIDASE I DEFICIENCY	
Number Sign	606068	RETINITIS PIGMENTOSA 28; RP28		
Number Sign	606069	HEMOCHROMATOSIS, TYPE 4; HFE4	HEMOCHROMATOSIS, AUTOSOMAL DOMINANT;; HEMOCHROMATOSIS DUE TO DEFECT IN FERROPORTIN	
Number Sign	606070	AMYOTROPHIC LATERAL SCLEROSIS 21; ALS21	MYOPATHY, DISTAL, 2, FORMERLY; MPD2, FORMERLY;; VOCAL CORD AND PHARYNGEAL DYSFUNCTION WITH DISTAL MYOPATHY, FORMERLY; VCPDM, FORMERLY	
Number Sign	606071	HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC; HMSN2C	HMSN IIC;; CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2C; CMT2C;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2C	
Number Sign	606072	RIPPLING MUSCLE DISEASE 2; RMD2	RIPPLING MUSCLE DISEASE; RMD	
Percent	606082	GOITER, MULTINODULAR 3; MNG3		
Percent	606129	DIAMOND-BLACKFAN ANEMIA 2; DBA2		
NULL	606156	SENER SYNDROME	FRONTONASAL DYSPLASIA AND DILATED VIRCHOW-ROBIN SPACES	
Number Sign	606159	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 3; NBIA3	NEUROFERRITINOPATHY;; BASAL GANGLIA DISEASE, ADULT-ONSET	
Number Sign	606164	DIAMOND-BLACKFAN ANEMIA 15 WITH MANDIBULOFACIAL DYSOSTOSIS; DBA15		
Number Sign	606170	GENITOPATELLAR SYNDROME; GTPTS	ABSENT PATELLAE, SCROTAL HYPOPLASIA, RENAL ANOMALIES, FACIAL DYSMORPHISM, AND MENTAL RETARDATION	
NULL	606174	BACULUM, CONGENITAL ABSENCE OF	OS PENIS, CONGENITAL ABSENCE OF	
NULL	606175	CARNITINE ACETYLTRANSFERASE DEFICIENCY		
Number Sign	606176	DIABETES MELLITUS, PERMANENT NEONATAL; PNDM	DIABETES MELLITUS, PERMANENT, OF INFANCY; PDMI	DIABETES MELLITUS, PERMANENT NEONATAL, WITH NEUROLOGIC FEATURES, INCLUDED;; DEVELOPMENTAL DELAY, EPILEPSY, AND NEONATAL DIABETES, INCLUDED; DEND, INCLUDED
NULL	606177	PARS PLANITIS		
NULL	606179	ANEURYSMAL BONE CYSTS		
NULL	606183	LARYNGEAL ABDUCTOR PARALYSIS WITH CEREBELLAR ATAXIA AND MOTOR NEUROPATHY		
Percent	606187	ALZHEIMER DISEASE 7	ALZHEIMER DISEASE, FAMILIAL, 7;; AD7	
NULL	606190	MENINGIOMA, RADIATION-INDUCED	MNRI	
Percent	606215	ATRIOVENTRICULAR SEPTAL DEFECT; AVSD	ATRIOVENTRICULAR CANAL DEFECT; AVCD;; AVC DEFECT;; ENDOCARDIAL CUSHION DEFECT; ECD	ATRIOVENTRICULAR SEPTAL DEFECT, SUSCEPTIBILITY TO, 1, INCLUDED; AVSD1, INCLUDED
Number Sign	606217	ATRIOVENTRICULAR SEPTAL DEFECT, SUSCEPTIBILITY TO, 2; AVSD2		ATRIOVENTRICULAR SEPTAL DEFECT, PARTIAL, WITH HETEROTAXY SYNDROME, INCLUDED
NULL	606220	MENTAL RETARDATION, SHORT STATURE, FACIAL ANOMALIES, AND JOINT DISLOCATIONS		
Number Sign	606232	PHELAN-MCDERMID SYNDROME; PHMDS	CHROMOSOME 22q13.3 DELETION SYNDROME;; TELOMERIC 22q13 MONOSOMY SYNDROME	
Percent	606240	THYROID CANCER, NONMEDULLARY, 3; NMTC3	THYROID CANCER, NONMEDULLARY, 1, FORMERLY; NMTC1, FORMERLY	
Percent	606242	MENTAL RETARDATION, MICROCEPHALY, GROWTH RETARDATION, JOINT CONTRACTURES, AND FACIAL DYSMORPHISM	KONDOH SYNDROME	
Number Sign	606243	ALVEOLAR SOFT PART SARCOMA; ASPS		
Percent	606255	STATURE AS A QUANTITATIVE TRAIT		STATURE QUANTITATIVE TRAIT LOCUS 1, INCLUDED; STQTL1, INCLUDED
Percent	606256	STATURE QUANTITATIVE TRAIT LOCUS 2; STQTL2		
Percent	606257	STATURE QUANTITATIVE TRAIT LOCUS 3; STQTL3		
Percent	606258	STATURE QUANTITATIVE TRAIT LOCUS 4; STQTL4		
Percent	606263	PAGET DISEASE OF BONE 4; PDB4		
Percent	606282	DEAFNESS, AUTOSOMAL DOMINANT 24; DFNA24		
Number Sign	606324	PARKINSON DISEASE 7, AUTOSOMAL RECESSIVE EARLY-ONSET; PARK7		
Percent	606325	HETEROTAXY, VISCERAL, 3, AUTOSOMAL; HTX3		
Number Sign	606346	DEAFNESS, AUTOSOMAL DOMINANT 22; DFNA22		DEAFNESS, AUTOSOMAL DOMINANT 22, WITH HYPERTROPHIC CARDIOMYOPATHY, INCLUDED
Percent	606348	INFLAMMATORY BOWEL DISEASE 5; IBD5		
NULL	606349	GAMBLING, PATHOLOGIC		
Number Sign	606353	PRIMARY LATERAL SCLEROSIS, JUVENILE; PLSJ	PLS, JUVENILE	
Number Sign	606367	IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY; IMD41	INTERLEUKIN 2 RECEPTOR, ALPHA, DEFICIENCY OF;; IL2RA DEFICIENCY;; CD25 DEFICIENCY	
NULL	606369	MACROCEPHALY AND EPILEPTIC ENCEPHALOPATHY		
Number Sign	606391	MATURITY-ONSET DIABETES OF THE YOUNG; MODY	MASON-TYPE DIABETES	
Number Sign	606392	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4; MODY4	MODY, TYPE 4	
Number Sign	606394	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6; MODY6	MODY, TYPE 6	
Number Sign	606407	HYPOTONIA-CYSTINURIA SYNDROME	CYSTINURIA WITH MITOCHONDRIAL DISEASE;; HOMOZYGOUS 2p16 DELETION SYNDROME, FORMERLY	HOMOZYGOUS 2p21 DELETION SYNDROME, INCLUDED
Number Sign	606408	EHLERS-DANLOS SYNDROME DUE TO TENASCIN-X DEFICIENCY	EDS DUE TO TNX DEFICIENCY;; TNX DEFICIENCY	
Number Sign	606438	HUNTINGTON DISEASE-LIKE 2; HDL2		
NULL	606445	PERSISTENT POLYCLONAL B-CELL LYMPHOCYTOSIS; PPBL		
Percent	606451	DEAFNESS, AUTOSOMAL DOMINANT 30; DFNA30		
Percent	606460	LONGEVITY 2	LGV2	
Number Sign	606482	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B; CMTDIB	CHARCOT-MARIE-TOOTH NEUROPATHY, DOMINANT INTERMEDIATE B;; DI-CMTB;; CMTDI1	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2M, INCLUDED; CMT2M, INCLUDED;; CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2M, INCLUDED;; CHARCOT-MARIE-TOOTH NEUROPATHY, AXONAL, TYPE 2M, INCLUDED;; CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B, WITH NEUTROPENIA, INCLUDED;; CHARCOT-MARIE-TOOTH NEUROPATHY, DOMINANT INTERMEDIATE B, WITH NEUTROPENIA, INCLUDED
Percent	606483	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE A; CMTDIA	CHARCOT-MARIE-TOOTH NEUROPATHY, DOMINANT INTERMEDIATE A;; DI-CMTA	
NULL	606519	PHACE ASSOCIATION	PHACES ASSOCIATION;; AORTIC ANEURYSM, GIANT CONGENITAL	
NULL	606527	MEGARBANE SYNDROME		
Number Sign	606528	HOMOZYGOUS 11p15-p14 DELETION SYNDROME	HYPERINSULINISM, INFANTILE, WITH ENTEROPATHY AND DEAFNESS	
NULL	606529	CRANIOSYNOSTOSIS SYNDROME, AUTOSOMAL RECESSIVE		
Number Sign	606545	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 3; ARCI3	COLLODION BABY, SELF-HEALING;; ICHTHYOSIS, LAMELLAR, 5, FORMERLY; LI5, FORMERLY	
Percent	606552	EPISODIC ATAXIA, TYPE 4; EA4	PERIODIC VESTIBULOCEREBELLAR ATAXIA; PATX;; ATAXIA, PERIODIC VESTIBULOCEREBELLAR	
Percent	606554	EPISODIC ATAXIA, TYPE 3; EA3	ATAXIA, EPISODIC, WITH VERTIGO AND TINNITUS	
Number Sign	606574	ALBINISM, OCULOCUTANEOUS, TYPE IV; OCA4	OCULOCUTANEOUS ALBINISM, TYPE IV	
Number Sign	606579	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 1; VAMAS1	VITILIGO; VTLG;; SYSTEMIC LUPUS ERYTHEMATOSUS, VITILIGO-RELATED; SLEV1	
Number Sign	606581	POLYSUBSTANCE ABUSE, SUSCEPTIBILITY TO; PSAB	DRUG ADDICTION, SUSCEPTIBILITY TO	
Number Sign	606593	LIG4 SYNDROME		
Number Sign	606595	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2F; CMT2F	CHARCOT-MARIE-TOOTH DISEASE, NEURONAL, TYPE 2F;; CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2F	
Number Sign	606612	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH OR WITHOUT MENTAL RETARDATION), TYPE B, 5; MDDGB5	MUSCULAR DYSTROPHY, CONGENITAL, 1C; MDC1C;; MUSCULAR DYSTROPHY, CONGENITAL, FKRP-RELATED	
Percent	606613	HIGH DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 1; HDLCQ1	HDLC1	
Percent	606616	DYSLEXIA, SUSCEPTIBILITY TO, 6; DYX6		
Percent	606631	CAMURATI-ENGELMANN DISEASE, TYPE 2	CAEND2	
NULL	606632	ODOR, MALE, WOMEN'S CHOICE OF		
Percent	606640	AMYOTROPHIC LATERAL SCLEROSIS 3; ALS3		
Percent	606641	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 1; BMIQ1	BODY MASS INDEX; BMI	
Percent	606643	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 2; BMIQ2		
Percent	606656	BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 2; IBGC2		
Number Sign	606657	GLAUCOMA, NORMAL TENSION, SUSCEPTIBILITY TO	NTG;; GLAUCOMA, NORMAL PRESSURE, SUSCEPTIBILITY TO; NPG	
Number Sign	606658	SPINOCEREBELLAR ATAXIA 15; SCA15	SPINOCEREBELLAR ATAXIA 16, FORMERLY; SCA16, FORMERLY	
Percent	606660	MELANOMA, UVEAL, SUSCEPTIBILITY TO, 1	UVM1	
Percent	606661	MELANOMA, UVEAL, SUSCEPTIBILITY TO, 2	UVM2	
Percent	606662	WAARDENBURG SYNDROME, TYPE 2C; WS2C	WAARDENBURG SYNDROME, TYPE IIC	
Number Sign	606664	GLYCINE N-METHYLTRANSFERASE DEFICIENCY	GNMT DEFICIENCY	
Percent	606668	INFLAMMATORY BOWEL DISEASE 8; IBD8		
Percent	606674	INFLAMMATORY BOWEL DISEASE 6; IBD6		
Percent	606675	INFLAMMATORY BOWEL DISEASE 4; IBD4		
Number Sign	606685	CARDIOMYOPATHY, DILATED, 1L; CMD1L		
Number Sign	606688	SPONGIFORM ENCEPHALOPATHY WITH NEUROPSYCHIATRIC FEATURES		
Percent	606689	GLAUCOMA 1, OPEN ANGLE, B; GLC1B		
Number Sign	606690	LYMPHANGIOLEIOMYOMATOSIS; LAM	LYMPHANGIOMYOMATOSIS	
Number Sign	606693	KUFOR-RAKEB SYNDROME; KRS	PARKINSON DISEASE 9, AUTOSOMAL RECESSIVE, JUVENILE-ONSET; PARK9;; PALLIDOPYRAMIDAL DEGENERATION WITH SUPRANUCLEAR UPGAZE PARESIS AND DEMENTIA; KRPPD	
Number Sign	606703	DYSKINESIA, FAMILIAL, WITH FACIAL MYOKYMIA; FDFM		
Number Sign	606705	DEAFNESS, AUTOSOMAL DOMINANT 36; DFNA36		
Percent	606708	SPLIT-HAND/FOOT MALFORMATION 5; SHFM5		
Percent	606711	SPECIFIC LANGUAGE IMPAIRMENT 1; SLI1	SPECIFIC LANGUAGE IMPAIRMENT QUANTITATIVE TRAIT LOCUS ON CHROMOSOME 16	
Percent	606712	SPECIFIC LANGUAGE IMPAIRMENT 2; SLI2	SPECIFIC LANGUAGE IMPAIRMENT QUANTITATIVE TRAIT LOCUS ON CHROMOSOME 19	
Number Sign	606713	VAN DER WOUDE SYNDROME 2; VWS2		
Number Sign	606719	MELANOMA-PANCREATIC CANCER SYNDROME	FAMILIAL ATYPICAL MULTIPLE MOLE MELANOMA-PANCREATIC CARCINOMA SYNDROME; FAMMMPC	
Number Sign	606721	PARTIAL LIPODYSTROPHY, CONGENITAL CATARACTS, AND NEURODEGENERATION SYNDROME; LCCNS	LIPODYSTROPHY, PARTIAL, WITH CONGENITAL CATARACTS AND NEURODEGENERATION	
Number Sign	606744	SECKEL SYNDROME 2; SCKL2	SECKEL-TYPE DWARFISM 2;; MICROCEPHALIC PRIMORDIAL DWARFISM 2	
NULL	606752	ACUTE HEMORRHAGIC LEUKOENCEPHALITIS	AHL	
Number Sign	606762	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 6; HHF6	HYPERINSULINISM-HYPERAMMONEMIA SYNDROME	
Number Sign	606763	CILIARY DYSKINESIA, PRIMARY, 2; CILD2	CILIARY DYSKINESIA, PRIMARY, 2, WITH OR WITHOUT SITUS INVERSUS	
Number Sign	606764	GASTROINTESTINAL STROMAL TUMOR; GIST		
Number Sign	606766	SPERMATOGENIC FAILURE 3; SPGF3		
Number Sign	606768	MYOPATHY, DISTAL, WITH ANTERIOR TIBIAL ONSET; DMAT		
Percent	606770	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2; ADIPQTL2	CIRCULATING ADIPONECTIN QUANTITATIVE TRAIT LOCUS ON CHROMOSOME 5; CAQ5	
Percent	606771	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3; ADIPQTL3	CIRCULATING ADIPONECTIN QUANTITATIVE TRAIT LOCUS ON CHROMOSOME 14; CAQ14	
Percent	606772	MENTAL RETARDATION, OBESITY, MANDIBULAR PROGNATHISM, AND EYE AND SKIN ANOMALIES	MOMES SYNDROME	
NULL	606773	HEMIFACIAL MYOHYPERPLASIA; HMH		
Number Sign	606777	GLUT1 DEFICIENCY SYNDROME 1; GLUT1DS1	GLUCOSE TRANSPORT DEFECT, BLOOD-BRAIN BARRIER	GLUT1 DEFICIENCY SYNDROME 1, AUTOSOMAL RECESSIVE, INCLUDED
Number Sign	606785	CRIGLER-NAJJAR SYNDROME, TYPE II	HYPERBILIRUBINEMIA, CRIGLER-NAJJAR TYPE II; HBLRCN2	
Percent	606787	PERIPHERAL ARTERIAL OCCLUSIVE DISEASE 1	PAOD1	
Percent	606788	ANOREXIA NERVOSA, SUSCEPTIBILITY TO, 1; ANON1	AN	
Percent	606789	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 4; HBFQTL4		
Number Sign	606798	BLEPHAROSPASM, BENIGN ESSENTIAL		
Percent	606799	STROKE, SUSCEPTIBILITY TO, 1	STRK1	
Number Sign	606812	FUMARASE DEFICIENCY; FMRD	FUMARIC ACIDURIA	
Number Sign	606824	GLUCOSE/GALACTOSE MALABSORPTION; GGM	MONOSACCHARIDE MALABSORPTION; GM	
Number Sign	606835	DIGITAL ARTHROPATHY-BRACHYDACTYLY, FAMILIAL; FDAB		
Percent	606840	PARASOMNIA, SLEEP BRUXISM TYPE; PSMNSB	FACIOMANDIBULAR MYOCLONUS, NOCTURNAL	PARASOMNIA, SLEEPTALKING TYPE, INCLUDED; PSMNST, INCLUDED
Percent	606842	CARDIONEUROMYOPATHY WITH HYALINE MASSES AND NEMALINE RODS		
Number Sign	606843	IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 3; HIGM3	HYPER-IgM SYNDROME 3	
NULL	606851	CREE MENTAL RETARDATION SYNDROME		
Percent	606852	PARKINSON DISEASE 10; PARK10	PARKINSON DISEASE, AGE AT ONSET OF; AAOPD	
Number Sign	606854	POLYMICROGYRIA, BILATERAL FRONTOPARIETAL; BFPP	CEREBELLAR ATAXIA WITH NEURONAL MIGRATION DEFECT	
Number Sign	606856	PANCREATIC CANCER, SUSCEPTIBILITY TO, 1	PNCA1	
Number Sign	606864	PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA	CARNEY-STRATAKIS SYNDROME;; PARAGANGLIOMA AND GASTROINTESTINAL STROMAL TUMOR; GIST	
Percent	606874	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 6; HSCR6		
